edad;trabajo;civil;educacion;defecto;deposito;propiedad;prestamo;contacto;dia;mes;duracion;campaña;pdias;previo;presultado;y
25;servicios;casado;secundaria;no;50;si;no;desconocido;5;may;342;1;-1;0;desconocido;no
40;jubilado;casado;primaria;no;0;si;si;desconocido;5;may;181;1;-1;0;desconocido;no
44;administrativo;casado;secundaria;no;-372;si;no;desconocido;5;may;172;1;-1;0;desconocido;no
39;gerente;soltero;terciaria;no;255;si;no;desconocido;5;may;296;1;-1;0;desconocido;no
52;emprendedor;casado;secundaria;no;113;si;si;desconocido;5;may;127;1;-1;0;desconocido;no
46;gerente;soltero;secundaria;no;-246;si;no;desconocido;5;may;255;2;-1;0;desconocido;no
36;tecnico;soltero;secundaria;no;265;si;si;desconocido;5;may;348;1;-1;0;desconocido;no
57;tecnico;casado;secundaria;no;839;no;si;desconocido;5;may;225;1;-1;0;desconocido;no
49;gerente;casado;terciaria;no;378;si;no;desconocido;5;may;230;1;-1;0;desconocido;no
60;administrativo;casado;secundaria;no;39;si;si;desconocido;5;may;208;1;-1;0;desconocido;no
59;collar azul;casado;secundaria;no;0;si;no;desconocido;5;may;226;1;-1;0;desconocido;no
51;gerente;casado;terciaria;no;10635;si;no;desconocido;5;may;336;1;-1;0;desconocido;no
57;tecnico;divorciado;secundaria;no;63;si;no;desconocido;5;may;242;1;-1;0;desconocido;no
25;collar azul;casado;secundaria;no;-7;si;no;desconocido;5;may;365;1;-1;0;desconocido;no
53;tecnico;casado;secundaria;no;-3;no;no;desconocido;5;may;1666;1;-1;0;desconocido;no
36;administrativo;divorciado;secundaria;no;506;si;no;desconocido;5;may;577;1;-1;0;desconocido;no
37;administrativo;soltero;secundaria;no;0;si;no;desconocido;5;may;137;1;-1;0;desconocido;no
44;servicios;divorciado;secundaria;no;2586;si;no;desconocido;5;may;160;1;-1;0;desconocido;no
50;gerente;casado;secundaria;no;49;si;no;desconocido;5;may;180;2;-1;0;desconocido;no
60;collar azul;casado;desconocido;no;104;si;no;desconocido;5;may;22;1;-1;0;desconocido;no
54;jubilado;casado;secundaria;no;529;si;no;desconocido;5;may;1492;1;-1;0;desconocido;no
58;jubilado;casado;desconocido;no;96;si;no;desconocido;5;may;616;1;-1;0;desconocido;no
36;administrativo;soltero;primaria;no;-171;si;no;desconocido;5;may;242;1;-1;0;desconocido;no
58;independiente;casado;terciaria;no;-364;si;no;desconocido;5;may;355;1;-1;0;desconocido;no
44;tecnico;casado;secundaria;no;0;si;no;desconocido;5;may;225;2;-1;0;desconocido;no
55;tecnico;divorciado;secundaria;no;0;no;no;desconocido;5;may;160;1;-1;0;desconocido;no
29;gerente;soltero;terciaria;no;0;si;no;desconocido;5;may;363;1;-1;0;desconocido;no
54;collar azul;casado;secundaria;no;1291;si;no;desconocido;5;may;266;1;-1;0;desconocido;no
48;gerente;divorciado;terciaria;no;-244;si;no;desconocido;5;may;253;1;-1;0;desconocido;no
32;gerente;casado;terciaria;no;0;si;no;desconocido;5;may;179;1;-1;0;desconocido;no
42;administrativo;soltero;secundaria;no;-76;si;no;desconocido;5;may;787;1;-1;0;desconocido;no
24;tecnico;soltero;secundaria;no;-103;si;si;desconocido;5;may;145;1;-1;0;desconocido;no
38;emprendedor;soltero;terciaria;no;243;no;si;desconocido;5;may;174;1;-1;0;desconocido;no
38;gerente;soltero;terciaria;no;424;si;no;desconocido;5;may;104;1;-1;0;desconocido;no
47;collar azul;casado;desconocido;no;306;si;no;desconocido;5;may;13;1;-1;0;desconocido;no
40;collar azul;soltero;desconocido;no;24;si;no;desconocido;5;may;185;1;-1;0;desconocido;no
46;servicios;casado;primaria;no;179;si;no;desconocido;5;may;1778;1;-1;0;desconocido;no
32;administrativo;casado;terciaria;no;0;si;no;desconocido;5;may;138;1;-1;0;desconocido;no
53;tecnico;divorciado;secundaria;no;989;si;no;desconocido;5;may;812;1;-1;0;desconocido;no
57;collar azul;casado;primaria;no;249;si;no;desconocido;5;may;164;1;-1;0;desconocido;no
33;servicios;casado;secundaria;no;790;si;no;desconocido;5;may;391;1;-1;0;desconocido;no
49;collar azul;casado;desconocido;no;154;si;no;desconocido;5;may;357;1;-1;0;desconocido;no
51;gerente;casado;terciaria;no;6530;si;no;desconocido;5;may;91;1;-1;0;desconocido;no
60;jubilado;casado;terciaria;no;100;no;no;desconocido;5;may;528;1;-1;0;desconocido;no
59;gerente;divorciado;terciaria;no;59;si;no;desconocido;5;may;273;1;-1;0;desconocido;no
55;tecnico;casado;secundaria;no;1205;si;no;desconocido;5;may;158;2;-1;0;desconocido;no
35;collar azul;soltero;secundaria;no;12223;si;si;desconocido;5;may;177;1;-1;0;desconocido;no
57;collar azul;casado;secundaria;no;5935;si;si;desconocido;5;may;258;1;-1;0;desconocido;no
31;servicios;casado;secundaria;no;25;si;si;desconocido;5;may;172;1;-1;0;desconocido;no
54;gerente;casado;secundaria;no;282;si;si;desconocido;5;may;154;1;-1;0;desconocido;no
55;collar azul;casado;primaria;no;23;si;no;desconocido;5;may;291;1;-1;0;desconocido;no
43;tecnico;casado;secundaria;no;1937;si;no;desconocido;5;may;181;1;-1;0;desconocido;no
53;tecnico;casado;secundaria;no;384;si;no;desconocido;5;may;176;1;-1;0;desconocido;no
44;collar azul;casado;secundaria;no;582;no;si;desconocido;5;may;211;1;-1;0;desconocido;no
55;servicios;divorciado;secundaria;no;91;no;no;desconocido;5;may;349;1;-1;0;desconocido;no
49;servicios;divorciado;secundaria;no;0;si;si;desconocido;5;may;272;1;-1;0;desconocido;no
55;servicios;divorciado;secundaria;si;1;si;no;desconocido;5;may;208;1;-1;0;desconocido;no
45;administrativo;soltero;secundaria;no;206;si;no;desconocido;5;may;193;1;-1;0;desconocido;no
47;servicios;divorciado;secundaria;no;164;no;no;desconocido;5;may;212;1;-1;0;desconocido;no
42;tecnico;soltero;secundaria;no;690;si;no;desconocido;5;may;20;1;-1;0;desconocido;no
59;administrativo;casado;secundaria;no;2343;si;no;desconocido;5;may;1042;1;-1;0;desconocido;si
46;independiente;casado;terciaria;no;137;si;si;desconocido;5;may;246;1;-1;0;desconocido;no
51;collar azul;casado;primaria;no;173;si;no;desconocido;5;may;529;2;-1;0;desconocido;no
56;administrativo;casado;secundaria;no;45;no;no;desconocido;5;may;1467;1;-1;0;desconocido;si
41;tecnico;casado;secundaria;no;1270;si;no;desconocido;5;may;1389;1;-1;0;desconocido;si
46;gerente;divorciado;secundaria;no;16;si;si;desconocido;5;may;188;2;-1;0;desconocido;no
57;jubilado;casado;secundaria;no;486;si;no;desconocido;5;may;180;2;-1;0;desconocido;no
42;gerente;soltero;secundaria;no;50;no;no;desconocido;5;may;48;1;-1;0;desconocido;no
30;tecnico;casado;secundaria;no;152;si;si;desconocido;5;may;213;2;-1;0;desconocido;no
60;administrativo;casado;secundaria;no;290;si;no;desconocido;5;may;583;1;-1;0;desconocido;no
60;collar azul;casado;desconocido;no;54;si;no;desconocido;5;may;221;1;-1;0;desconocido;no
57;emprendedor;divorciado;secundaria;no;-37;no;no;desconocido;5;may;173;1;-1;0;desconocido;no
36;gerente;casado;terciaria;no;101;si;si;desconocido;5;may;426;1;-1;0;desconocido;no
55;collar azul;casado;secundaria;no;383;no;no;desconocido;5;may;287;1;-1;0;desconocido;no
60;jubilado;casado;terciaria;no;81;si;no;desconocido;5;may;101;1;-1;0;desconocido;no
39;tecnico;casado;secundaria;no;0;si;no;desconocido;5;may;203;1;-1;0;desconocido;no
46;gerente;casado;terciaria;no;229;si;no;desconocido;5;may;197;1;-1;0;desconocido;no
44;collar azul;casado;secundaria;no;-674;si;no;desconocido;5;may;257;1;-1;0;desconocido;no
53;collar azul;casado;primaria;no;90;no;no;desconocido;5;may;124;1;-1;0;desconocido;no
52;collar azul;casado;primaria;no;128;si;no;desconocido;5;may;229;1;-1;0;desconocido;no
59;collar azul;casado;primaria;no;179;si;no;desconocido;5;may;55;3;-1;0;desconocido;no
27;tecnico;soltero;terciaria;no;0;si;no;desconocido;5;may;400;1;-1;0;desconocido;no
44;collar azul;casado;secundaria;no;54;si;no;desconocido;5;may;197;1;-1;0;desconocido;no
47;tecnico;casado;terciaria;no;151;si;no;desconocido;5;may;190;1;-1;0;desconocido;no
34;administrativo;casado;secundaria;no;61;no;si;desconocido;5;may;21;1;-1;0;desconocido;no
59;jubilado;soltero;secundaria;no;30;si;no;desconocido;5;may;514;1;-1;0;desconocido;no
45;gerente;casado;terciaria;no;523;si;no;desconocido;5;may;849;2;-1;0;desconocido;no
29;servicios;divorciado;secundaria;no;31;si;no;desconocido;5;may;194;1;-1;0;desconocido;no
46;tecnico;divorciado;secundaria;no;79;no;no;desconocido;5;may;144;1;-1;0;desconocido;no
56;independiente;casado;primaria;no;-34;si;si;desconocido;5;may;212;2;-1;0;desconocido;no
36;collar azul;casado;primaria;no;448;si;no;desconocido;5;may;286;1;-1;0;desconocido;no
59;jubilado;divorciado;primaria;no;81;si;no;desconocido;5;may;107;1;-1;0;desconocido;no
44;collar azul;casado;secundaria;no;144;si;no;desconocido;5;may;247;2;-1;0;desconocido;no
41;administrativo;casado;secundaria;no;351;si;no;desconocido;5;may;518;1;-1;0;desconocido;no
33;gerente;soltero;terciaria;no;-67;si;no;desconocido;5;may;364;1;-1;0;desconocido;no
59;gerente;divorciado;terciaria;no;262;no;no;desconocido;5;may;178;1;-1;0;desconocido;no
57;tecnico;casado;primaria;no;0;no;no;desconocido;5;may;98;1;-1;0;desconocido;no
56;tecnico;divorciado;desconocido;no;56;si;no;desconocido;5;may;439;1;-1;0;desconocido;no
51;collar azul;casado;secundaria;no;26;si;no;desconocido;5;may;79;1;-1;0;desconocido;no
34;administrativo;casado;desconocido;no;3;si;no;desconocido;5;may;120;3;-1;0;desconocido;no
43;servicios;casado;secundaria;no;41;si;si;desconocido;5;may;127;2;-1;0;desconocido;no
52;tecnico;casado;terciaria;no;7;no;si;desconocido;5;may;175;1;-1;0;desconocido;no
33;tecnico;soltero;secundaria;no;105;si;no;desconocido;5;may;262;2;-1;0;desconocido;no
29;administrativo;soltero;secundaria;no;818;si;si;desconocido;5;may;61;1;-1;0;desconocido;no
34;servicios;casado;secundaria;no;-16;si;si;desconocido;5;may;78;1;-1;0;desconocido;no
31;collar azul;casado;secundaria;no;0;si;no;desconocido;5;may;143;1;-1;0;desconocido;no
55;servicios;casado;secundaria;no;2476;si;no;desconocido;5;may;579;1;-1;0;desconocido;si
55;gerente;casado;desconocido;no;1185;no;no;desconocido;5;may;677;1;-1;0;desconocido;no
32;administrativo;soltero;secundaria;no;217;si;no;desconocido;5;may;345;1;-1;0;desconocido;no
38;tecnico;soltero;secundaria;no;1685;si;no;desconocido;5;may;185;1;-1;0;desconocido;no
55;administrativo;soltero;secundaria;no;802;si;si;desconocido;5;may;100;2;-1;0;desconocido;no
28;desempleado;soltero;terciaria;no;0;si;no;desconocido;5;may;125;2;-1;0;desconocido;no
23;collar azul;casado;secundaria;no;94;si;no;desconocido;5;may;193;1;-1;0;desconocido;no
32;tecnico;soltero;secundaria;no;0;si;no;desconocido;5;may;136;1;-1;0;desconocido;no
43;servicios;soltero;desconocido;no;0;no;no;desconocido;5;may;73;1;-1;0;desconocido;no
32;collar azul;casado;secundaria;no;517;si;no;desconocido;5;may;528;1;-1;0;desconocido;no
46;collar azul;casado;secundaria;no;265;si;no;desconocido;5;may;541;1;-1;0;desconocido;no
53;empleada domestica;divorciado;primaria;no;947;si;no;desconocido;5;may;163;1;-1;0;desconocido;no
34;independiente;soltero;secundaria;no;3;si;no;desconocido;5;may;301;1;-1;0;desconocido;no
57;desempleado;casado;terciaria;no;42;no;no;desconocido;5;may;46;1;-1;0;desconocido;no
37;collar azul;casado;secundaria;no;37;si;no;desconocido;5;may;204;1;-1;0;desconocido;no
59;collar azul;casado;secundaria;no;57;si;no;desconocido;5;may;98;1;-1;0;desconocido;no
33;servicios;casado;secundaria;no;22;si;no;desconocido;5;may;71;1;-1;0;desconocido;no
56;collar azul;divorciado;primaria;no;8;si;no;desconocido;5;may;157;2;-1;0;desconocido;no
48;desempleado;casado;secundaria;no;293;si;no;desconocido;5;may;243;1;-1;0;desconocido;no
43;servicios;casado;primaria;no;3;si;no;desconocido;5;may;186;2;-1;0;desconocido;no
54;collar azul;casado;primaria;no;348;si;no;desconocido;5;may;579;2;-1;0;desconocido;no
51;collar azul;casado;desconocido;no;-19;si;no;desconocido;5;may;163;2;-1;0;desconocido;no
26;estudiante;soltero;secundaria;no;0;si;no;desconocido;5;may;610;2;-1;0;desconocido;no
40;gerente;casado;terciaria;no;-4;si;no;desconocido;5;may;2033;1;-1;0;desconocido;no
39;gerente;casado;secundaria;no;18;si;no;desconocido;5;may;85;1;-1;0;desconocido;no
50;tecnico;casado;primaria;no;139;no;no;desconocido;5;may;114;2;-1;0;desconocido;no
41;servicios;casado;secundaria;no;0;si;no;desconocido;5;may;114;2;-1;0;desconocido;no
51;collar azul;casado;desconocido;no;1883;si;no;desconocido;5;may;57;1;-1;0;desconocido;no
60;jubilado;divorciado;secundaria;no;216;si;no;desconocido;5;may;238;1;-1;0;desconocido;no
52;collar azul;casado;secundaria;no;782;si;no;desconocido;5;may;93;3;-1;0;desconocido;no
48;collar azul;casado;secundaria;no;904;si;no;desconocido;5;may;128;2;-1;0;desconocido;no
48;servicios;casado;desconocido;no;1705;si;no;desconocido;5;may;107;1;-1;0;desconocido;no
39;tecnico;soltero;terciaria;no;47;si;no;desconocido;5;may;181;1;-1;0;desconocido;no
47;servicios;soltero;secundaria;no;176;si;no;desconocido;5;may;303;2;-1;0;desconocido;no
40;collar azul;casado;secundaria;no;1225;si;no;desconocido;5;may;558;5;-1;0;desconocido;no
45;tecnico;casado;secundaria;no;86;si;no;desconocido;5;may;270;1;-1;0;desconocido;no
26;administrativo;soltero;secundaria;no;82;si;no;desconocido;5;may;228;1;-1;0;desconocido;no
52;gerente;casado;terciaria;no;271;si;no;desconocido;5;may;99;1;-1;0;desconocido;no
54;tecnico;casado;secundaria;no;1378;si;no;desconocido;5;may;240;1;-1;0;desconocido;no
54;administrativo;casado;terciaria;no;184;no;no;desconocido;5;may;673;2;-1;0;desconocido;si
50;collar azul;casado;primaria;no;0;no;no;desconocido;5;may;233;3;-1;0;desconocido;no
35;collar azul;casado;secundaria;no;0;si;no;desconocido;5;may;1056;1;-1;0;desconocido;no
44;servicios;casado;secundaria;no;1357;si;si;desconocido;5;may;250;1;-1;0;desconocido;no
53;emprendedor;casado;desconocido;no;19;si;no;desconocido;5;may;252;1;-1;0;desconocido;no
35;jubilado;soltero;primaria;no;434;no;no;desconocido;5;may;138;1;-1;0;desconocido;no
60;administrativo;divorciado;secundaria;no;92;si;no;desconocido;5;may;130;1;-1;0;desconocido;no
53;administrativo;divorciado;secundaria;no;1151;si;no;desconocido;5;may;412;1;-1;0;desconocido;no
48;desempleado;casado;secundaria;no;41;si;no;desconocido;5;may;179;2;-1;0;desconocido;no
34;tecnico;casado;secundaria;no;51;si;no;desconocido;5;may;19;2;-1;0;desconocido;no
54;servicios;casado;secundaria;no;214;si;no;desconocido;5;may;458;2;-1;0;desconocido;no
51;gerente;casado;secundaria;no;1161;si;no;desconocido;5;may;717;1;-1;0;desconocido;no
31;servicios;casado;terciaria;no;37;si;no;desconocido;5;may;313;1;-1;0;desconocido;no
35;tecnico;divorciado;secundaria;no;787;si;no;desconocido;5;may;683;2;-1;0;desconocido;no
35;servicios;casado;secundaria;no;59;si;no;desconocido;5;may;1077;1;-1;0;desconocido;no
38;tecnico;casado;secundaria;no;253;si;no;desconocido;5;may;416;1;-1;0;desconocido;no
36;administrativo;casado;terciaria;no;211;si;no;desconocido;5;may;146;2;-1;0;desconocido;no
58;jubilado;casado;primaria;no;235;si;no;desconocido;5;may;167;1;-1;0;desconocido;no
40;servicios;divorciado;desconocido;no;4384;si;no;desconocido;5;may;315;1;-1;0;desconocido;no
54;gerente;casado;secundaria;no;4080;no;no;desconocido;5;may;140;1;-1;0;desconocido;no
34;collar azul;soltero;secundaria;no;53;si;si;desconocido;5;may;346;1;-1;0;desconocido;no
31;gerente;soltero;terciaria;no;0;si;no;desconocido;5;may;562;1;-1;0;desconocido;no
51;jubilado;casado;secundaria;no;2127;si;no;desconocido;5;may;172;1;-1;0;desconocido;no
33;gerente;casado;terciaria;no;377;si;no;desconocido;5;may;217;1;-1;0;desconocido;no
55;gerente;casado;terciaria;no;73;si;no;desconocido;5;may;142;2;-1;0;desconocido;no
42;administrativo;casado;secundaria;no;445;si;no;desconocido;5;may;67;1;-1;0;desconocido;no
34;collar azul;casado;secundaria;no;243;si;no;desconocido;5;may;291;1;-1;0;desconocido;no
33;collar azul;soltero;secundaria;no;307;si;no;desconocido;5;may;309;2;-1;0;desconocido;no
38;servicios;casado;secundaria;no;155;si;no;desconocido;5;may;248;1;-1;0;desconocido;no
50;tecnico;divorciado;terciaria;no;173;no;si;desconocido;5;may;98;1;-1;0;desconocido;no
43;gerente;casado;terciaria;no;400;si;no;desconocido;5;may;256;1;-1;0;desconocido;no
61;collar azul;divorciado;primaria;no;1428;si;no;desconocido;5;may;82;2;-1;0;desconocido;no
47;administrativo;casado;secundaria;no;219;si;no;desconocido;5;may;577;1;-1;0;desconocido;no
48;independiente;casado;terciaria;no;7;si;no;desconocido;5;may;286;1;-1;0;desconocido;no
44;collar azul;casado;secundaria;no;575;si;no;desconocido;5;may;477;1;-1;0;desconocido;no
35;estudiante;soltero;desconocido;no;298;si;no;desconocido;5;may;611;2;-1;0;desconocido;no
35;servicios;casado;secundaria;no;0;si;no;desconocido;5;may;471;1;-1;0;desconocido;no
50;servicios;casado;secundaria;no;5699;si;no;desconocido;5;may;381;2;-1;0;desconocido;no
41;gerente;casado;terciaria;no;176;si;si;desconocido;5;may;42;1;-1;0;desconocido;no
41;gerente;casado;terciaria;no;517;si;no;desconocido;5;may;251;1;-1;0;desconocido;no
39;servicios;soltero;desconocido;no;257;si;no;desconocido;5;may;408;1;-1;0;desconocido;no
42;jubilado;casado;secundaria;no;56;si;no;desconocido;5;may;215;1;-1;0;desconocido;no
38;collar azul;casado;secundaria;no;-390;si;no;desconocido;5;may;287;1;-1;0;desconocido;no
53;jubilado;casado;secundaria;no;330;si;no;desconocido;5;may;216;2;-1;0;desconocido;no
59;empleada domestica;divorciado;primaria;no;195;no;no;desconocido;5;may;366;2;-1;0;desconocido;no
36;servicios;casado;secundaria;no;301;si;no;desconocido;5;may;210;1;-1;0;desconocido;no
54;collar azul;casado;primaria;no;-41;si;no;desconocido;5;may;288;1;-1;0;desconocido;no
40;tecnico;casado;terciaria;no;483;si;no;desconocido;5;may;168;1;-1;0;desconocido;no
47;desconocido;casado;desconocido;no;28;no;no;desconocido;5;may;338;2;-1;0;desconocido;no
53;desempleado;casado;desconocido;no;13;no;no;desconocido;5;may;410;3;-1;0;desconocido;no
46;empleada domestica;casado;primaria;no;965;no;no;desconocido;5;may;177;1;-1;0;desconocido;no
39;gerente;casado;terciaria;no;378;si;si;desconocido;5;may;127;2;-1;0;desconocido;no
40;desempleado;casado;secundaria;no;219;si;no;desconocido;5;may;357;1;-1;0;desconocido;no
28;collar azul;casado;primaria;no;324;si;no;desconocido;5;may;175;1;-1;0;desconocido;no
35;emprendedor;divorciado;secundaria;no;-69;si;no;desconocido;5;may;300;1;-1;0;desconocido;no
55;jubilado;casado;secundaria;no;0;no;si;desconocido;5;may;136;1;-1;0;desconocido;no
43;tecnico;divorciado;desconocido;no;205;si;no;desconocido;5;may;1419;1;-1;0;desconocido;no
48;collar azul;casado;primaria;no;278;si;no;desconocido;5;may;125;2;-1;0;desconocido;no
58;gerente;casado;desconocido;no;1065;si;no;desconocido;5;may;213;3;-1;0;desconocido;no
33;gerente;soltero;terciaria;no;34;si;no;desconocido;5;may;27;1;-1;0;desconocido;no
36;collar azul;casado;desconocido;no;1033;no;no;desconocido;5;may;238;2;-1;0;desconocido;no
53;servicios;divorciado;secundaria;no;1467;si;no;desconocido;5;may;124;1;-1;0;desconocido;no
47;collar azul;casado;primaria;no;-12;si;no;desconocido;5;may;18;1;-1;0;desconocido;no
31;servicios;casado;secundaria;no;388;si;no;desconocido;5;may;730;2;-1;0;desconocido;no
57;emprendedor;casado;secundaria;no;294;si;no;desconocido;5;may;746;2;-1;0;desconocido;no
53;collar azul;casado;desconocido;no;1827;no;no;desconocido;5;may;121;1;-1;0;desconocido;no
55;collar azul;casado;primaria;no;627;si;no;desconocido;5;may;247;1;-1;0;desconocido;no
45;collar azul;casado;primaria;no;25;si;no;desconocido;5;may;40;1;-1;0;desconocido;no
53;administrativo;divorciado;secundaria;no;315;si;no;desconocido;5;may;181;2;-1;0;desconocido;no
37;collar azul;casado;primaria;no;0;si;no;desconocido;5;may;79;1;-1;0;desconocido;no
44;administrativo;divorciado;secundaria;no;66;si;no;desconocido;5;may;206;1;-1;0;desconocido;no
49;collar azul;divorciado;primaria;no;-9;si;si;desconocido;5;may;389;1;-1;0;desconocido;no
46;tecnico;casado;secundaria;no;349;si;si;desconocido;5;may;127;1;-1;0;desconocido;no
43;emprendedor;casado;desconocido;no;100;si;no;desconocido;5;may;702;1;-1;0;desconocido;no
38;administrativo;casado;secundaria;no;0;no;no;desconocido;5;may;151;1;-1;0;desconocido;no
43;tecnico;casado;secundaria;no;434;si;no;desconocido;5;may;117;1;-1;0;desconocido;no
49;gerente;casado;terciaria;no;3237;si;no;desconocido;5;may;232;3;-1;0;desconocido;no
42;gerente;casado;desconocido;no;275;no;no;desconocido;5;may;408;2;-1;0;desconocido;no
22;collar azul;soltero;secundaria;no;0;si;no;desconocido;5;may;179;2;-1;0;desconocido;no
40;gerente;casado;terciaria;no;207;si;no;desconocido;5;may;39;1;-1;0;desconocido;no
39;collar azul;casado;secundaria;no;483;si;no;desconocido;5;may;282;1;-1;0;desconocido;no
51;servicios;casado;secundaria;no;2248;si;no;desconocido;5;may;714;2;-1;0;desconocido;no
49;administrativo;casado;secundaria;no;428;si;no;desconocido;5;may;50;1;-1;0;desconocido;no
53;collar azul;casado;secundaria;no;0;si;si;desconocido;5;may;181;1;-1;0;desconocido;no
34;servicios;soltero;secundaria;no;0;si;no;desconocido;5;may;142;1;-1;0;desconocido;no
33;tecnico;divorciado;secundaria;no;140;si;no;desconocido;5;may;227;1;-1;0;desconocido;no
50;gerente;soltero;terciaria;no;297;si;no;desconocido;5;may;119;1;-1;0;desconocido;no
39;collar azul;casado;primaria;no;279;si;no;desconocido;5;may;361;1;-1;0;desconocido;no
59;emprendedor;divorciado;secundaria;no;901;si;no;desconocido;5;may;73;3;-1;0;desconocido;no
30;tecnico;soltero;secundaria;no;2573;si;no;desconocido;5;may;67;2;-1;0;desconocido;no
36;servicios;casado;secundaria;no;143;si;si;desconocido;5;may;350;1;-1;0;desconocido;no
40;collar azul;casado;secundaria;no;475;si;no;desconocido;5;may;332;2;-1;0;desconocido;no
53;collar azul;casado;secundaria;no;70;si;no;desconocido;5;may;611;2;-1;0;desconocido;no
34;gerente;soltero;terciaria;no;318;si;no;desconocido;5;may;113;2;-1;0;desconocido;no
37;tecnico;casado;secundaria;no;275;si;no;desconocido;5;may;132;1;-1;0;desconocido;no
42;gerente;divorciado;terciaria;no;742;si;no;desconocido;5;may;58;3;-1;0;desconocido;no
41;emprendedor;casado;primaria;no;236;si;no;desconocido;5;may;151;1;-1;0;desconocido;no
30;estudiante;soltero;terciaria;no;25;si;no;desconocido;5;may;89;2;-1;0;desconocido;no
37;gerente;soltero;terciaria;no;600;si;no;desconocido;5;may;152;1;-1;0;desconocido;no
39;administrativo;divorciado;secundaria;no;-349;si;no;desconocido;5;may;611;2;-1;0;desconocido;no
41;collar azul;casado;primaria;no;183;si;si;desconocido;5;may;110;2;-1;0;desconocido;no
40;collar azul;casado;primaria;no;0;si;no;desconocido;5;may;463;1;-1;0;desconocido;no
42;gerente;soltero;terciaria;no;0;si;si;desconocido;5;may;562;2;-1;0;desconocido;si
40;collar azul;divorciado;primaria;no;0;si;no;desconocido;5;may;962;1;-1;0;desconocido;no
57;tecnico;casado;secundaria;no;1078;si;no;desconocido;5;may;10;4;-1;0;desconocido;no
56;emprendedor;divorciado;secundaria;no;155;no;no;desconocido;5;may;118;3;-1;0;desconocido;no
37;administrativo;casado;secundaria;no;190;si;no;desconocido;5;may;92;2;-1;0;desconocido;no
59;jubilado;casado;secundaria;no;319;si;no;desconocido;5;may;143;3;-1;0;desconocido;no
39;servicios;divorciado;secundaria;no;-185;si;no;desconocido;5;may;189;3;-1;0;desconocido;no
49;servicios;casado;secundaria;no;47;no;no;desconocido;5;may;234;2;-1;0;desconocido;no
38;servicios;soltero;secundaria;no;570;si;no;desconocido;5;may;75;2;-1;0;desconocido;no
36;independiente;casado;terciaria;no;19;no;no;desconocido;5;may;189;2;-1;0;desconocido;no
50;collar azul;casado;primaria;no;61;si;no;desconocido;5;may;621;3;-1;0;desconocido;no
41;administrativo;casado;secundaria;no;-62;si;si;desconocido;5;may;55;2;-1;0;desconocido;no
54;tecnico;casado;terciaria;no;258;no;no;desconocido;5;may;310;4;-1;0;desconocido;no
58;collar azul;casado;primaria;no;76;si;no;desconocido;5;may;156;2;-1;0;desconocido;no
30;collar azul;soltero;secundaria;no;0;si;no;desconocido;5;may;5;2;-1;0;desconocido;no
33;administrativo;soltero;secundaria;no;352;si;no;desconocido;5;may;225;2;-1;0;desconocido;no
47;administrativo;casado;secundaria;no;368;si;no;desconocido;5;may;125;2;-1;0;desconocido;no
