,id,l1,l2,l3,rooms,bedrooms,bathrooms,surface_total,surface_covered,price
40,40,Argentina,Capital Federal,Abasto,3.0,2.0,2.0,90.0,82.0,205000
41,41,Argentina,Capital Federal,San Nicolás,2.0,,,33.0,,95000
42,42,Argentina,Capital Federal,San Nicolás,2.0,1.0,1.0,35.0,35.0,96000
43,43,Argentina,Capital Federal,Tribunales,2.0,1.0,1.0,58.0,58.0,140661
44,44,Argentina,Capital Federal,Palermo,1.0,1.0,1.0,42.0,42.0,135000
45,45,Argentina,Capital Federal,Palermo,1.0,1.0,1.0,53.0,53.0,150000
46,46,Argentina,Capital Federal,Palermo,1.0,1.0,1.0,35.0,33.0,105000
47,47,Argentina,Capital Federal,Mataderos,,,,,,90000
48,48,Argentina,Capital Federal,Palermo,1.0,1.0,1.0,35.0,35.0,94000
49,49,Argentina,Capital Federal,Belgrano,1.0,,1.0,36.0,34.0,115000
50,50,Argentina,Capital Federal,Recoleta,1.0,,1.0,,,54000
51,51,Argentina,Capital Federal,Monserrat,1.0,,1.0,20.0,,43000
52,52,Argentina,Capital Federal,Villa Luro,,,,,,90000
53,53,Argentina,Capital Federal,San Nicolás,1.0,,1.0,45.0,45.0,100000
54,54,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,37.0,37.0,130000
55,55,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,64.0,58.0,220000
56,56,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,59.0,59.0,180000
57,57,Argentina,Capital Federal,Barracas,2.0,1.0,2.0,80.0,49.0,220000
58,58,Argentina,Capital Federal,Belgrano,2.0,1.0,1.0,77.0,77.0,207900
59,59,Argentina,Capital Federal,Belgrano,2.0,1.0,1.0,37.0,35.0,120000
60,60,Argentina,Capital Federal,Belgrano,2.0,1.0,2.0,65.0,52.0,325000
61,61,Argentina,Capital Federal,Belgrano,2.0,1.0,1.0,62.0,62.0,186000
62,62,Argentina,Capital Federal,Villa Urquiza,1.0,1.0,1.0,65.0,65.0,123000
63,63,Argentina,Capital Federal,Villa Urquiza,1.0,1.0,1.0,38.0,38.0,89000
64,64,Argentina,Capital Federal,Palermo,3.0,2.0,1.0,,,398000
65,65,Argentina,Capital Federal,Palermo,3.0,2.0,1.0,83.0,79.0,330000
66,66,Argentina,Capital Federal,Barrio Norte,5.0,3.0,2.0,107.0,107.0,330000
67,67,Argentina,Capital Federal,Palermo,5.0,4.0,5.0,275.0,275.0,2750000
68,68,Argentina,Capital Federal,Villa Crespo,4.0,3.0,2.0,115.0,115.0,310184
69,69,Argentina,Capital Federal,Recoleta,4.0,3.0,2.0,170.0,170.0,830000
70,70,Argentina,Capital Federal,Belgrano,5.0,4.0,3.0,700.0,500.0,1111111
71,71,Argentina,Capital Federal,Congreso,4.0,3.0,2.0,154.0,154.0,265000
72,72,Argentina,Capital Federal,Belgrano,4.0,3.0,2.0,119.0,72.0,335000
73,73,Argentina,Capital Federal,Villa Crespo,3.0,2.0,2.0,80.0,77.0,230000
74,74,Argentina,Capital Federal,Belgrano,3.0,2.0,2.0,129.0,67.0,320000
75,75,Argentina,Capital Federal,Recoleta,4.0,3.0,2.0,144.0,144.0,448000
76,76,Argentina,Capital Federal,Puerto Madero,1.0,1.0,1.0,37.0,37.0,220000
77,77,Argentina,Capital Federal,Villa Crespo,2.0,1.0,1.0,36.0,36.0,87000
78,78,Argentina,Capital Federal,Villa Crespo,2.0,1.0,1.0,50.0,45.0,89000
79,79,Argentina,Capital Federal,Villa Crespo,2.0,1.0,1.0,63.0,60.0,12501
80,80,Argentina,Capital Federal,Villa Crespo,2.0,1.0,1.0,31.0,31.0,65000
81,81,Argentina,Capital Federal,Villa Devoto,2.0,1.0,1.0,69.0,46.0,135000
82,82,Argentina,Capital Federal,Puerto Madero,1.0,1.0,1.0,37.0,37.0,220000
83,83,Argentina,Capital Federal,Puerto Madero,2.0,1.0,2.0,66.0,62.0,315000
84,84,Argentina,Capital Federal,Puerto Madero,2.0,1.0,2.0,66.0,62.0,314999
85,85,Argentina,Capital Federal,Villa Pueyrredón,2.0,1.0,1.0,49.0,45.0,108000
86,86,Argentina,Capital Federal,Puerto Madero,2.0,1.0,2.0,66.0,62.0,315000
87,87,Argentina,Capital Federal,Puerto Madero,2.0,1.0,2.0,66.0,62.0,354999
88,88,Argentina,Capital Federal,Villa Pueyrredón,2.0,1.0,1.0,48.0,45.0,125000
89,89,Argentina,Capital Federal,Villa Pueyrredón,2.0,1.0,1.0,49.0,45.0,125000
90,90,Argentina,Capital Federal,Almagro,3.0,2.0,1.0,71.0,66.0,116000
91,91,Argentina,Capital Federal,Villa Pueyrredón,1.0,1.0,1.0,48.0,45.0,107000
92,92,Argentina,Capital Federal,Flores,3.0,2.0,2.0,60.0,57.0,149000
93,93,Argentina,Capital Federal,Nuñez,3.0,2.0,3.0,97.0,63.0,204510
94,94,Argentina,Capital Federal,Almagro,3.0,2.0,1.0,71.0,66.0,116000
95,95,Argentina,Capital Federal,Puerto Madero,2.0,1.0,2.0,66.0,62.0,355000
96,96,Argentina,Capital Federal,Almagro,3.0,2.0,2.0,65.0,62.0,123000
97,97,Argentina,Capital Federal,Almagro,2.0,1.0,1.0,52.0,48.0,153000
98,98,Argentina,Capital Federal,Almagro,3.0,2.0,1.0,55.0,45.0,94000
99,99,Argentina,Capital Federal,Villa Crespo,3.0,2.0,1.0,60.0,56.0,105000
100,100,Argentina,Capital Federal,Puerto Madero,3.0,2.0,2.0,80.0,76.0,525000
101,101,Argentina,Capital Federal,San Cristobal,3.0,2.0,1.0,79.0,70.0,138250
102,102,Argentina,Capital Federal,Parque Centenario,3.0,2.0,2.0,140.0,130.0,340000
103,103,Argentina,Capital Federal,Once,4.0,3.0,1.0,130.0,122.0,270000
104,104,Argentina,Capital Federal,Flores,4.0,3.0,3.0,190.0,172.0,459000
105,105,Argentina,Capital Federal,Almagro,4.0,3.0,2.0,78.0,70.0,183000
106,106,Argentina,Capital Federal,Villa Crespo,3.0,2.0,2.0,75.0,64.0,230000
107,107,Argentina,Capital Federal,Palermo,4.0,3.0,2.0,85.0,76.0,199000
108,108,Argentina,Capital Federal,Palermo,4.0,3.0,3.0,179.0,172.0,620000
109,109,Argentina,Capital Federal,Palermo,4.0,3.0,2.0,140.0,110.0,279500
110,110,Argentina,Capital Federal,Palermo,4.0,3.0,1.0,88.0,81.0,200000
111,111,Argentina,Capital Federal,Palermo,4.0,3.0,3.0,136.0,129.0,500000
112,112,Argentina,Capital Federal,Belgrano,4.0,3.0,3.0,118.0,110.0,395000
113,113,Argentina,Capital Federal,Belgrano,5.0,3.0,4.0,259.0,236.0,695000
114,114,Argentina,Capital Federal,Belgrano,4.0,3.0,3.0,143.0,128.0,780000
115,115,Argentina,Capital Federal,Palermo,4.0,3.0,3.0,89.0,80.0,284900
116,116,Argentina,Capital Federal,Belgrano,4.0,3.0,2.0,90.0,82.0,275000
117,117,Argentina,Capital Federal,Villa Crespo,3.0,2.0,1.0,58.0,58.0,184910
118,118,Argentina,Capital Federal,Villa Crespo,3.0,2.0,1.0,66.0,62.0,132000
119,119,Argentina,Capital Federal,Belgrano,3.0,2.0,1.0,48.0,48.0,135000
120,120,Argentina,Capital Federal,Belgrano,4.0,2.0,2.0,90.0,85.0,275000
121,121,Argentina,Capital Federal,Belgrano,3.0,2.0,2.0,80.0,80.0,530000
122,122,Argentina,Capital Federal,Belgrano,3.0,2.0,2.0,62.0,60.0,235000
123,123,Argentina,Capital Federal,Belgrano,3.0,2.0,1.0,97.0,81.0,229800
124,124,Argentina,Capital Federal,Recoleta,3.0,2.0,3.0,117.0,115.0,350000
125,125,Argentina,Capital Federal,Recoleta,3.0,2.0,1.0,55.0,55.0,145000
126,126,Argentina,Capital Federal,Villa Crespo,3.0,2.0,1.0,59.0,59.0,100001
127,127,Argentina,Capital Federal,Balvanera,3.0,2.0,1.0,68.0,60.0,134900
128,128,Argentina,Capital Federal,Chacarita,3.0,2.0,1.0,72.0,55.0,145000
129,129,Argentina,Capital Federal,Colegiales,3.0,2.0,1.0,97.0,81.0,229800
130,130,Argentina,Capital Federal,Colegiales,3.0,2.0,1.0,65.0,65.0,155000
131,131,Argentina,Capital Federal,Barrio Norte,3.0,2.0,1.0,43.0,43.0,140000
132,132,Argentina,Capital Federal,Las Cañitas,3.0,2.0,1.0,68.0,58.0,229500
133,133,Argentina,Capital Federal,Villa Crespo,3.0,2.0,1.0,84.0,79.0,190000
134,134,Argentina,Capital Federal,Villa Crespo,3.0,2.0,1.0,63.0,60.0,190000
135,135,Argentina,Capital Federal,Caballito,3.0,2.0,1.0,70.0,59.0,166901
136,136,Argentina,Capital Federal,Almagro,3.0,2.0,1.0,70.0,66.0,225000
137,137,Argentina,Capital Federal,Belgrano,4.0,3.0,3.0,380.0,380.0,1600000
138,138,Argentina,Capital Federal,Balvanera,4.0,3.0,1.0,100.0,90.0,125000
139,139,Argentina,Capital Federal,Palermo,3.0,2.0,2.0,92.0,92.0,400000
140,140,Argentina,Capital Federal,Palermo,3.0,2.0,2.0,73.0,67.0,405000
141,141,Argentina,Capital Federal,Palermo,3.0,2.0,1.0,58.0,52.0,135000
142,142,Argentina,Capital Federal,Palermo,3.0,2.0,1.0,78.0,75.0,199000
143,143,Argentina,Capital Federal,Palermo,3.0,2.0,2.0,71.0,65.0,329000
144,144,Argentina,Capital Federal,Palermo,3.0,2.0,2.0,64.0,60.0,139000
145,145,Argentina,Capital Federal,Palermo,3.0,2.0,1.0,73.0,57.0,293001
146,146,Argentina,Capital Federal,Palermo,3.0,2.0,1.0,63.0,55.0,165001
147,147,Argentina,Capital Federal,Palermo,3.0,2.0,1.0,70.0,66.0,225000
148,148,Argentina,Capital Federal,Palermo,3.0,2.0,1.0,69.0,59.0,258001
149,149,Argentina,Capital Federal,Palermo,3.0,2.0,1.0,130.0,60.0,185000
150,150,Argentina,Capital Federal,Palermo,3.0,2.0,2.0,82.0,65.0,325000
151,151,Argentina,Capital Federal,Almagro,3.0,2.0,1.0,72.0,57.0,148000
152,152,Argentina,Capital Federal,Almagro,3.0,2.0,2.0,65.0,60.0,209000
153,153,Argentina,Capital Federal,Almagro,3.0,2.0,1.0,73.0,68.0,205000
154,154,Argentina,Capital Federal,Almagro,3.0,2.0,1.0,90.0,60.0,250000
155,155,Argentina,Capital Federal,Palermo,3.0,2.0,1.0,74.0,70.0,166600
156,156,Argentina,Capital Federal,Recoleta,4.0,3.0,2.0,223.0,185.0,430000
157,157,Argentina,Capital Federal,Palermo,3.0,2.0,2.0,80.0,70.0,450000
158,158,Argentina,Capital Federal,Palermo,11.0,8.0,8.0,593.0,587.0,2550000
159,159,Argentina,Capital Federal,Caballito,4.0,3.0,3.0,106.0,89.0,403200
160,160,Argentina,Capital Federal,Caballito,4.0,3.0,2.0,137.0,107.0,319000
161,161,Argentina,Capital Federal,Caballito,4.0,3.0,5.0,258.0,148.0,815200
162,162,Argentina,Capital Federal,Barrio Norte,4.0,3.0,2.0,99.0,95.0,230001
163,163,Argentina,Capital Federal,Villa Crespo,4.0,3.0,3.0,76.0,70.0,215000
164,164,Argentina,Capital Federal,Villa Devoto,4.0,3.0,3.0,121.0,112.0,370000
165,165,Argentina,Capital Federal,Puerto Madero,4.0,3.0,5.0,200.0,185.0,870000
166,166,Argentina,Capital Federal,Palermo,3.0,2.0,1.0,58.0,52.0,135000
167,167,Argentina,Capital Federal,Puerto Madero,4.0,3.0,5.0,576.0,438.0,3300000
168,168,Argentina,Capital Federal,Belgrano,6.0,4.0,3.0,390.0,390.0,1850000
169,169,Argentina,Capital Federal,Recoleta,5.0,4.0,3.0,520.0,210.0,950000
170,170,Argentina,Capital Federal,Recoleta,5.0,4.0,3.0,270.0,240.0,790000
171,171,Argentina,Capital Federal,Barrio Norte,5.0,4.0,2.0,220.0,220.0,590000
172,172,Argentina,Capital Federal,Villa Crespo,5.0,4.0,2.0,121.0,115.0,271501
173,173,Argentina,Capital Federal,San Cristobal,5.0,4.0,1.0,130.0,122.0,270000
174,174,Argentina,Capital Federal,Belgrano,6.0,5.0,5.0,580.0,580.0,1111111
175,175,Argentina,Capital Federal,Belgrano,6.0,4.0,4.0,340.0,330.0,750000
176,176,Argentina,Capital Federal,Palermo,3.0,2.0,1.0,122.0,80.0,420000
177,177,Argentina,Capital Federal,Colegiales,2.0,1.0,1.0,58.0,50.0,156800
178,178,Argentina,Capital Federal,Villa Crespo,2.0,1.0,1.0,50.0,44.0,158001
179,179,Argentina,Capital Federal,Liniers,,,,,,160000
180,180,Argentina,Capital Federal,Palermo,1.0,,1.0,36.0,33.0,103000
181,181,Argentina,Capital Federal,Palermo,1.0,,1.0,28.0,28.0,95000
182,182,Argentina,Capital Federal,Palermo,1.0,,1.0,34.0,34.0,115000
183,183,Argentina,Capital Federal,Palermo,1.0,,1.0,38.0,34.0,130000
184,184,Argentina,Capital Federal,Palermo,1.0,,1.0,42.0,36.0,105000
185,185,Argentina,Capital Federal,Palermo,1.0,,1.0,42.0,36.0,105000
186,186,Argentina,Capital Federal,Palermo,1.0,,1.0,47.0,39.0,108000
187,187,Argentina,Capital Federal,Barracas,,,,,68.0,205000
188,188,Argentina,Capital Federal,Belgrano,3.0,,,56.0,56.0,169900
189,189,Argentina,Capital Federal,Belgrano,1.0,,1.0,41.0,34.0,110000
190,190,Argentina,Capital Federal,Belgrano,,,,,,550000
191,191,Argentina,Capital Federal,Recoleta,1.0,,1.0,48.0,25.0,80000
192,192,Argentina,Capital Federal,Caballito,1.0,,1.0,38.0,34.0,80000
193,193,Argentina,Capital Federal,Mataderos,,,,,,160000
194,194,Argentina,Capital Federal,Villa Luro,,,,,,160000
195,195,Argentina,Capital Federal,Las Cañitas,1.0,,1.0,45.0,38.0,170000
196,196,Argentina,Capital Federal,Villa Crespo,1.0,,1.0,18.0,18.0,59000
197,197,Argentina,Capital Federal,Villa Crespo,1.0,,1.0,31.0,28.0,80000
198,198,Argentina,Capital Federal,Almagro,1.0,,1.0,39.0,34.0,112000
199,199,Argentina,Capital Federal,Puerto Madero,1.0,,1.0,33.0,27.0,91000
200,200,Argentina,Capital Federal,Almagro,1.0,,1.0,39.0,34.0,133000
201,201,Argentina,Capital Federal,Almagro,1.0,,1.0,39.0,34.0,117000
202,202,Argentina,Capital Federal,Flores,1.0,,1.0,36.0,28.0,99000
203,203,Argentina,Capital Federal,Flores,3.0,,,62.0,60.0,120000
204,204,Argentina,Capital Federal,Flores,2.0,,,49.0,49.0,90000
205,205,Argentina,Capital Federal,Almagro,1.0,,1.0,39.0,34.0,100000
206,206,Argentina,Capital Federal,Almagro,1.0,,1.0,39.0,34.0,104000
207,207,Argentina,Capital Federal,Almagro,1.0,,1.0,41.0,37.0,121000
208,208,Argentina,Capital Federal,Almagro,1.0,,1.0,41.0,37.0,137000
209,209,Argentina,Capital Federal,Almagro,1.0,,1.0,39.0,34.0,125000
210,210,Argentina,Capital Federal,Almagro,1.0,,1.0,39.0,34.0,108000
211,211,Argentina,Capital Federal,Almagro,1.0,,1.0,41.0,37.0,104000
212,212,Argentina,Capital Federal,Almagro,1.0,,1.0,41.0,37.0,129000
213,213,Argentina,Capital Federal,Almagro,1.0,,1.0,41.0,37.0,116000
214,214,Argentina,Capital Federal,Almagro,1.0,,1.0,35.0,31.0,130637
215,215,Argentina,Capital Federal,Almagro,1.0,,1.0,41.0,37.0,108000
216,216,Argentina,Capital Federal,Villa Crespo,2.0,1.0,1.0,33.0,33.0,110187
217,217,Argentina,Capital Federal,Almagro,1.0,,1.0,41.0,37.0,133000
218,218,Argentina,Capital Federal,Almagro,1.0,,1.0,41.0,37.0,125000
219,219,Argentina,Capital Federal,Almagro,1.0,,1.0,41.0,37.0,112000
220,220,Argentina,Capital Federal,Almagro,1.0,,1.0,70.0,49.0,190000
221,221,Argentina,Capital Federal,Almagro,1.0,,1.0,39.0,34.0,129000
222,222,Argentina,Capital Federal,Villa del Parque,1.0,,1.0,34.0,32.0,82000
223,223,Argentina,Capital Federal,Almagro,1.0,,1.0,39.0,34.0,121000
224,224,Argentina,Capital Federal,Parque Centenario,1.0,,1.0,35.0,32.0,95000
225,225,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,42.0,42.0,130000
226,226,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,48.0,48.0,165000
227,227,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,49.0,42.0,180000
228,228,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,45.0,40.0,219000
229,229,Argentina,Capital Federal,Belgrano,2.0,1.0,1.0,37.0,35.0,133000
230,230,Argentina,Capital Federal,Belgrano,1.0,1.0,1.0,48.0,42.0,130000
231,231,Argentina,Capital Federal,Belgrano,2.0,1.0,1.0,67.0,67.0,335000
232,232,Argentina,Capital Federal,Belgrano,2.0,1.0,1.0,57.0,49.0,148000
233,233,Argentina,Capital Federal,Paternal,2.0,1.0,1.0,42.0,42.0,97000
234,234,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,,38.0,135000
235,235,Argentina,Capital Federal,Recoleta,,1.0,1.0,63.0,63.0,210000
236,236,Argentina,Capital Federal,Caballito,2.0,1.0,,51.0,,175000
237,237,Argentina,Capital Federal,Chacarita,1.0,1.0,1.0,48.0,42.0,130000
238,238,Argentina,Capital Federal,Chacarita,2.0,1.0,1.0,31.0,31.0,64900
239,239,Argentina,Capital Federal,Monserrat,2.0,1.0,1.0,39.0,39.0,83000
240,240,Argentina,Capital Federal,Colegiales,1.0,1.0,1.0,48.0,42.0,130000
241,241,Argentina,Capital Federal,Belgrano,,2.0,2.0,,,400000
242,242,Argentina,Capital Federal,Colegiales,2.0,1.0,1.0,58.0,50.0,154900
243,243,Argentina,Capital Federal,Villa Crespo,2.0,1.0,1.0,54.0,44.0,158001
244,244,Argentina,Capital Federal,Parque Centenario,1.0,,1.0,35.0,35.0,82000
245,245,Argentina,Capital Federal,Caballito,2.0,1.0,1.0,36.0,36.0,91000
246,246,Argentina,Capital Federal,Palermo,2.0,1.0,2.0,70.0,55.0,290000
247,247,Argentina,Capital Federal,Pompeya,3.0,2.0,1.0,63.0,60.0,99500
248,248,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,84.0,45.0,114999
249,249,Argentina,Capital Federal,Nuñez,2.0,1.0,1.0,63.0,48.0,153600
250,250,Argentina,Capital Federal,Palermo,1.0,1.0,1.0,48.0,42.0,130000
251,251,Argentina,Capital Federal,Nuñez,1.0,1.0,1.0,28.0,22.0,67200
252,252,Argentina,Capital Federal,Retiro,3.0,1.0,1.0,68.0,68.0,188000
253,253,Argentina,Capital Federal,Retiro,2.0,1.0,1.0,76.0,50.0,149900
254,254,Argentina,Capital Federal,Almagro,2.0,1.0,1.0,52.0,48.0,178000
255,255,Argentina,Capital Federal,Almagro,2.0,1.0,1.0,52.0,48.0,183000
256,256,Argentina,Capital Federal,Almagro,2.0,1.0,1.0,52.0,48.0,163000
257,257,Argentina,Capital Federal,Almagro,2.0,1.0,1.0,52.0,48.0,148000
258,258,Argentina,Capital Federal,Almagro,2.0,1.0,1.0,52.0,48.0,188000
259,259,Argentina,Capital Federal,Almagro,2.0,1.0,1.0,52.0,48.0,173000
260,260,Argentina,Capital Federal,Almagro,2.0,1.0,1.0,52.0,48.0,158000
261,261,Argentina,Capital Federal,Almagro,2.0,1.0,1.0,52.0,48.0,168000
262,262,Argentina,Capital Federal,Almagro,2.0,1.0,1.0,42.0,35.0,160833
263,263,Argentina,Capital Federal,Almagro,2.0,1.0,1.0,42.0,39.0,89000
264,264,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,36.0,36.0,99999
265,265,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,51.0,42.0,230000
266,266,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,48.0,48.0,165000
267,267,Argentina,Capital Federal,Almagro,2.0,1.0,1.0,46.0,42.0,176904
268,268,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,54.0,50.0,245000
269,269,Argentina,Capital Federal,Retiro,2.0,1.0,1.0,42.0,42.0,110000
270,270,Argentina,Capital Federal,Caballito,,,,,,459000
271,271,Argentina,Capital Federal,Recoleta,4.0,2.0,1.0,,,120000
272,272,Argentina,Capital Federal,Villa Devoto,3.0,2.0,1.0,80.0,67.0,169000
273,273,Argentina,Capital Federal,Liniers,3.0,2.0,1.0,45.0,45.0,85000
274,274,Argentina,Capital Federal,Villa Devoto,3.0,2.0,1.0,73.0,68.0,235000
275,275,Argentina,Capital Federal,Colegiales,3.0,2.0,1.0,69.0,65.0,189000
276,276,Argentina,Capital Federal,Villa Urquiza,2.0,1.0,1.0,52.0,47.0,235000
277,277,Argentina,Capital Federal,Nuñez,2.0,,1.0,70.0,50.0,132800
278,278,Argentina,Capital Federal,Congreso,1.0,0.0,1.0,,,64782
279,279,Argentina,Capital Federal,Villa Devoto,3.0,2.0,1.0,80.0,67.0,169000
280,280,Argentina,Capital Federal,Villa Devoto,3.0,2.0,1.0,80.0,67.0,169000
281,281,Argentina,Capital Federal,Villa Crespo,1.0,,1.0,109.0,109.0,344546
282,282,Argentina,Capital Federal,Belgrano,,,1.0,35.0,32.0,115000
283,283,Argentina,Capital Federal,Parque Chas,1.0,,1.0,39.0,34.0,80000
284,284,Argentina,Capital Federal,Colegiales,1.0,,1.0,37.0,25.0,87500
285,285,Argentina,Capital Federal,Caballito,1.0,,1.0,42.0,36.0,135000
286,286,Argentina,Capital Federal,Caballito,1.0,,1.0,37.0,34.0,85000
287,287,Argentina,Capital Federal,Balvanera,1.0,,1.0,17.0,17.0,45000
288,288,Argentina,Capital Federal,Recoleta,1.0,,1.0,43.0,36.0,168000
289,289,Argentina,Capital Federal,Congreso,1.0,,1.0,38.0,30.0,112000
290,290,Argentina,Capital Federal,Villa Crespo,1.0,,1.0,39.0,36.0,79000
291,291,Argentina,Capital Federal,Palermo,1.0,,1.0,28.0,23.0,74000
292,292,Argentina,Capital Federal,Almagro,1.0,,1.0,33.0,29.0,125755
293,293,Argentina,Capital Federal,Almagro,1.0,,1.0,22.0,22.0,56000
294,294,Argentina,Capital Federal,Almagro,1.0,,1.0,33.0,29.0,123984
295,295,Argentina,Capital Federal,Almagro,1.0,,1.0,33.0,29.0,122212
296,296,Argentina,Capital Federal,Villa Crespo,1.0,,1.0,36.0,32.0,105000
297,297,Argentina,Capital Federal,Palermo,1.0,0.0,1.0,,,61000
298,298,Argentina,Capital Federal,Congreso,1.0,0.0,1.0,,,52780
299,299,Argentina,Capital Federal,Congreso,1.0,0.0,1.0,,,57652
300,300,Argentina,Capital Federal,Puerto Madero,7.0,5.0,5.0,400.0,400.0,4000000
301,301,Argentina,Capital Federal,Constitución,1.0,0.0,1.0,,,67498
302,302,Argentina,Capital Federal,Constitución,1.0,0.0,1.0,,,86539
303,303,Argentina,Capital Federal,Constitución,1.0,0.0,1.0,,,89155
304,304,Argentina,Capital Federal,Constitución,1.0,0.0,1.0,,,74000
305,305,Argentina,Capital Federal,Constitución,1.0,0.0,1.0,,,77564
306,306,Argentina,Capital Federal,Constitución,1.0,0.0,1.0,,,84000
307,307,Argentina,Capital Federal,Villa Crespo,1.0,0.0,1.0,,,50000
308,308,Argentina,Capital Federal,Paternal,1.0,0.0,1.0,,,75000
309,309,Argentina,Capital Federal,Floresta,1.0,0.0,1.0,,,95000
310,310,Argentina,Capital Federal,Congreso,1.0,0.0,1.0,,,60623
311,311,Argentina,Capital Federal,Congreso,1.0,0.0,1.0,,,72791
312,312,Argentina,Capital Federal,Congreso,1.0,0.0,1.0,,,53176
313,313,Argentina,Capital Federal,Congreso,1.0,0.0,1.0,,,69944
314,314,Argentina,Capital Federal,Congreso,1.0,0.0,1.0,,,63991
315,315,Argentina,Capital Federal,Congreso,1.0,0.0,1.0,,,68238
316,316,Argentina,Capital Federal,Congreso,1.0,0.0,1.0,,,56840
317,317,Argentina,Capital Federal,Congreso,1.0,0.0,1.0,,,59832
318,318,Argentina,Capital Federal,Congreso,1.0,0.0,1.0,,,51968
319,319,Argentina,Capital Federal,Congreso,1.0,0.0,1.0,,,53933
320,320,Argentina,Capital Federal,Congreso,1.0,0.0,1.0,,,60730
321,321,Argentina,Capital Federal,Congreso,1.0,0.0,1.0,,,58583
